-0.8,-0.1,0
-1.4,0,0
4.3,0,0
-1.8,0,0
-1.4,0,0
-1.1,0.5,0
5.2,2,0
-0.4,0.4,0
-0.4,0.2,0
-2.1,0,0
6.8,0.1,0
-1.7,-0.3,0
-0.7,-0.3,0
-1,-0.3,0
6.8,-0.5,0
-0.6,-0.4,0
-1.4,-0.8,0
-1.6,-0.3,0
-1.5,-0.3,0
5.3,-0.4,0
-1,0.2,0
-3,0.2,0
-2.3,0.1,0
6.4,0.2,0
-1.6,1.8,1
-1.5,0.7,1
-1.1,0.2,1
5.6,-0.1,1
-0.9,-0.3,0
-1.2,-0.3,0
-1.1,-0.2,0
6.1,-0.4,0
-1.5,-0.2,0
-1,-0.1,0
-1.7,-0.3,0
7.3,0,0
-2.2,-0.2,0
-2.1,-0.1,0
-3.4,-0.3,0
8.2,0.7,0
-1.5,-0.1,0
-0.7,0.1,0
-2.1,-0.4,0
-1.4,-0.3,1
6.5,-0.1,1
-1.5,-0.2,1
-2,-0.3,1
-2,0.1,1
8,0.2,1
-2.7,-0.3,1
-1.9,-0.2,1
-2.5,0.9,1
6.8,0.7,1
-0.9,0.2,1
-2.2,0.5,1
-1.9,-0.2,1
8,-0.2,1
-2.5,0.2,0
-3,-0.5,0
-2,-0.3,0
7.6,-0.2,0
-1.8,-0.2,0
-2.2,0,0
-2.2,0,0
7.9,0.2,0
-1.7,-0.3,0
-1.2,-0.2,0
-3,-0.3,0
-0.9,-0.1,0
6.7,-0.3,0
-2.2,0.2,0
-2.3,-0.2,0
-2,-0.1,0
8.2,0.3,0
-1.6,-0.1,0
-0.3,0.4,0
-2.8,-0.3,0
8.5,-0.1,0
-1.8,0,0
-3,-0.3,0
-3.1,-0.6,0
8.5,0.1,0
-3.7,-0.3,0
-1,0.7,0
-2.5,-0.1,0
8.2,0.1,0
-1.9,0.2,0
-1.5,1.3,0
-1.5,-0.4,0
8.4,-0.3,0
-1.3,0.4,0
-1.8,-0.3,0
-2.5,-0.2,0
-2.1,-0.3,0
7.2,-0.4,0
-2.1,0.5,0
-3,-0.2,0
-1.2,0.1,0
7.5,-0.2,0
-1.9,0.8,0
-2.3,-0.3,0
-0.9,0.4,0
8.7,0.1,0
-2.5,-0.1,0
-4.1,-0.4,0
-7.8,1.7,0
-8.1,-0.1,0
-30.1,4.7,0
-26.6,2.3,0
-18,3.2,1
0.8,1.3,1
-2.6,4.6,1
-0.9,0.2,1
-0.7,-0.4,1
10,-0.4,1
0,-0.5,1
-1.2,-0.7,1
-1.8,-0.9,0
-0.4,0.1,0
8.1,-0.3,0
-1.1,0.1,0
-3.2,1.1,0
-4.4,-0.4,0
8.7,0,0
-0.9,0.3,0
-1.6,0.2,0
-2.6,0.2,0
8.8,1.3,0
-1.5,-0.3,0
-1.7,-0.2,0
-0.5,-0.2,0
6.9,-0.8,0
-1.9,-0.1,0
-1.1,0,0
-1.8,0.4,0
9.7,0,0
-1.5,0,0
-1.4,0.1,1
-2.5,-0.2,1
10.3,0,1
-1.1,0.2,1
-3.7,-0.4,1
-1.8,0,1
-1.3,0.1,1
7.4,-0.2,1
-3.3,-0.3,1
-1.9,-0.2,1
-2.2,-0.1,1
10.3,0.6,0
-2.7,-0.2,0
-2.7,-0.2,0
-1.7,0,0
9.5,0,0
-1.5,-0.1,0
-2.1,-0.2,0
-2.4,0.3,0
9.2,0.3,0
-2.8,-0.6,0
-0.5,0,0
-3.9,-0.7,0
7.9,-0.1,0
-2,0.1,0
-2.7,-0.1,0
-1.2,0,0
9.9,1.4,0
-2.1,0,0
-2.4,0,0
-1.8,0.1,0
-2.6,-0.4,0
9.2,-0.3,0
-1.8,-0.1,0
-2.4,-0.1,0
-0.6,0.3,0
7.7,0,0
-3.4,0,0
-1.5,-0.2,0
-1.2,0.8,0
8,-0.4,0
-2,-0.1,0
-2.1,-0.4,0
-1.5,-0.2,0
8.9,-0.3,0
-1.2,-0.2,0
-2.6,-0.1,0
-2.4,0,0
7.2,1.4,0
-2.2,-0.1,0
-1.3,0.1,0
-2.2,0.4,0
5.5,1.7,0
-0.2,0,0
-1.9,-0.3,0
-2.1,-0.3,0
-1.7,-0.6,0
10.3,-0.4,0
-4.3,-1.2,0
-3.3,-0.6,0
-1.1,-0.4,0
8.8,-0.1,0
-2.4,0,0
-2.8,-0.1,0
-0.8,0.4,0
8.9,2,0
-1,1,0
-2.4,-0.2,0
-1.5,-0.1,0
7.6,-0.9,0
-1.4,-0.4,0
-2.2,-0.5,0
-3.5,-0.6,0
8,-0.2,0
-1.6,-0.2,0
-4.3,0.4,0
-6.1,0.1,0
-4.9,0,0
-23.6,1.6,0
-27.8,-0.3,0
-20.5,1.6,0
-4,3.4,0
7.2,1.5,0
-0.5,2.2,0
0.4,0.1,0
0.6,-0.2,0
9.3,-0.4,0
-0.5,-0.9,0
-1.6,-0.3,0
-3.4,-0.5,0
5.8,-0.9,0
-1.2,-0.3,0
-3.8,-0.5,0
-1.9,-0.2,0
8.1,-0.2,0
-1.4,-0.1,0
-1.1,-0.1,0
-1.1,-0.1,0
7.8,0.4,0
-0.2,0.5,0
-1.4,0.1,0
-2.9,-0.1,0
8,0.8,0
-1,0.1,0
-0.3,0,0
-0.9,-0.2,0
-1.2,-0.3,0
6.2,-0.5,0
-2.8,-0.3,0
-0.8,0,0
-1.4,-0.2,0
7.1,0,0
-0.9,0,0
-1.1,0.2,0
-1.2,0.2,0
6.7,0,0
-1.5,0.5,0
-1.6,-0.2,0
-0.5,-0.2,0
7,-0.4,0
-0.7,-0.2,0
-0.5,0,0
-2.2,-0.3,0
5.4,-0.3,0
-1.1,-0.4,0
-0.6,-0.2,0
-2.8,-0.3,0
7.8,0,0
-3.6,-0.4,0
-0.8,0.1,0
-1,0,0
-0.8,0.5,0
5.7,0.1,0
-0.7,0,0
-1,0,0
-0.5,-0.1,0
5.7,0.2,0
-1.7,0,0
-1.4,-0.3,0
-0.4,-0.1,0
6.6,-0.1,0
0.9,-0.3,0
1,-0.3,0
1.9,-0.7,0
15,0.2,0
2.6,0.2,0
0.2,1.2,0
-3.1,0.9,0
3.9,0.4,0
-4.1,0.9,0
-3.4,-0.4,0
-3.5,0.3,0
4.4,0.3,0
-1.3,0.1,0
-0.2,0.1,0
-0.3,0,0
-1.4,-0.3,0
5.8,-0.2,0
0,0,0
-0.3,-0.1,0
-0.6,0,0
4.2,0,0
-0.8,0.4,0
-0.4,0.4,0
-1.2,0.1,0
5.6,0.1,0
-0.4,0.1,0
-0.1,0,0
-0.4,-0.1,0
5.6,0,0
-0.4,0,0
-0.2,0.4,0
-0.2,0.1,0
4.1,0,0
-0.2,0.1,0
-0.8,0.1,0
-2.1,-0.2,0
4.1,-0.1,0
-2.9,0.2,0
-5.2,-0.1,0
-9.2,-0.1,0
-11.7,-0.1,0
-6.3,-0.8,0
-7.7,1.2,0
-1.4,1.7,0
0.4,0.2,0
4.5,0,0
1,0,0
1.5,-0.2,0
0.2,-0.5,0
5,-0.4,0
0,-0.2,0
-1,-0.4,0
-2,0.2,0
3.7,0.4,0
-1.1,0.3,0
-0.9,0.1,0
-0.2,0.2,0
3.7,0.1,0
-0.6,0,0
-0.6,0.2,0
-0.4,-0.3,0
2.4,-0.2,0
-0.8,0,0
-0.7,-0.2,0
-0.4,0.1,0
-0.4,0,0
2.8,-0.1,0
-0.2,-0.2,0
-0.6,0,0
-0.4,-0.4,0
3,-0.3,0
0,-0.4,0
-0.3,-0.3,0
-0.8,0.3,0
2.5,0.3,0
-0.5,0,0
-0.8,0,0
-0.3,0,0
2.8,0,0
-0.3,0,0
-0.2,-0.2,0
-0.5,-0.1,0
2,0.1,0
-0.2,-0.1,0
-0.9,0,0
-1.1,-0.1,0
2.2,-0.1,0
-0.1,0,0
0,-0.1,0
-0.1,0,0
0,0,0
0.9,0,0
-0.4,-0.1,0
-0.5,-0.1,0
-0.3,-0.1,0
1.7,-0.1,0
-0.2,0,0
-0.2,-0.2,0
-0.2,-0.2,0
0.8,0,0
-0.6,0,0
-0.1,0.1,0
0,0,0
1.1,0.1,0
0,0,0
0,0.1,0
-0.1,0,0
1,0.3,0
0,0.2,0
-0.1,0.3,0
0,0,0
-0.1,0.3,1
-0.1,0.3,1
-0.1,-0.2,1
-0.2,-0.1,1
-0.1,-0.6,1
0.2,-0.5,1
-0.3,-0.5,1
-0.1,-0.1,1
0,0,1
0,0.1,1
0,0.1,1
0,0.1,1
0,0.1,1
0,0.3,1
0.2,0.4,1
0,0.2,1
0.5,0,1
-0.8,0,1
0,-0.1,1
0,-0.1,1
0.2,-0.2,1
-0.8,-0.8,1
0,-0.2,1
-0.1,-0.1,1
-0.2,-0.1,0
-1.3,-0.4,0
0,0,0
0.1,0,0
0.1,0,0
0,0,0
-1.8,0.9,0
0.3,0.7,0
-0.2,0.1,0
0.1,0,0
-1,0.4,0
0.4,0.1,0
0.3,0,0
0.8,0,0
-1.9,-0.1,0
0.2,-0.5,0
0.7,-0.5,0
0.6,0,0
-2.8,-0.1,0
0,-0.1,0
0.1,0,0
0.3,0,0
-1.4,0,0
0.3,0.1,0
0.7,-0.2,0
1.2,0.1,0
-2.4,-0.1,0
0.3,0.2,0
0.2,0.1,0
0.8,0.4,0
0,0,0
-4,-0.1,0
0.3,-0.1,0
0.3,-0.3,0
0.5,-0.2,0
-2.4,-0.5,0
0.4,-0.2,0
0.6,0,0
0.1,0.1,0
-3.6,0.2,0
1.2,0.4,0
0.6,0.4,0
0.3,0.1,0
-4,0.1,0
0,0,0
1.5,-0.5,0
1,-0.4,0
-3,-0.1,0
0.2,-0.2,0
0.4,-0.1,0
0.3,0.1,0
-3,0.4,0
1.1,0.2,0
0.4,0.2,0
0.4,0.1,0
1.8,0.2,0
-2.7,-0.3,0
2.3,0,0
1.9,0.1,0
1.2,0.1,0
-4.9,-0.7,0
0.9,-0.6,0
1.6,0.2,0
0,0,0
-5.1,0.5,0
1.5,0.5,0
0.7,0.3,0
1.2,0.2,0
-4.3,0,0
0.7,0,0
1.7,0.1,0
0.8,0,0
-3.3,0.4,0
0.5,0.2,0
2.4,0.1,0
1.8,0.1,0
-4,0.1,0
0.4,-0.1,0
0.9,-0.9,0
1.9,0.1,0
0.7,0,0
-5.3,0.1,0
2.7,0.2,0
0.5,-0.2,0
1.1,-0.3,0
-6.2,-0.4,0
1.2,-0.3,0
2,0.1,0
1.2,0.1,0
-5,0,1
1,0.1,1
2,-0.2,1
0.7,-0.4,1
-4.7,0.3,1
1.2,0,1
2.9,0.1,1
1.5,0.3,1
-5.8,0.3,1
1.1,0.1,1
2.2,0.3,1
0.8,0,1
-6.6,0.4,0
0.7,-0.2,0
1.6,0,0
2.4,0.3,0
1.1,0,0
-6,-0.1,0
1.7,0,0
0.8,-0.5,0
1.7,-0.4,0
-6.5,0.1,0
3.2,0.2,0
2.2,0,0
1.5,0.1,0
-4.8,0.4,0
0.6,0,0
1.8,0.2,0
1.1,0,0
-5.8,-0.3,0
1.4,-0.7,0
1.1,-0.7,0
0.9,-0.7,0
-6.4,-0.2,0
2.4,-0.2,0
2.8,0.1,0
1.9,0,0
-6.1,0.2,0
4.8,-0.5,0
2,-0.8,0
1.6,-0.2,0
1.2,-0.3,0
-3.7,-0.5,0
1.3,-0.7,0
2.1,-0.7,0
2.7,-0.8,0
-6.8,0.2,0
3,0.2,0
2.2,-0.2,0
2.9,-0.1,0
-6.5,-0.7,0
1.1,-0.4,0
3.2,0.3,0
2.1,0.1,0
-7.2,0.1,0
1.7,-0.3,0
3.3,0,0
2.2,-0.5,0
-6.9,-0.7,0
3.9,0.2,0
2.2,-0.5,0
2.1,0.1,0
-6.8,0.3,0
1.9,-0.3,0
0.6,0,0
2.7,0.2,0
2.1,0.1,0
-5.8,0.2,0
2.1,-0.1,0
2.6,0.3,0
3.6,-0.1,0
-7.4,-0.1,0
1.8,-0.6,0
1.7,0.1,0
1.9,0.1,0
-7.9,-0.1,0
0.8,-0.4,0
1.4,0.1,0
1.3,0.1,0
-7.1,0,0
4.1,0.2,0
1.8,-0.2,0
1.8,-0.1,0
-7.4,-0.2,0
2.2,0.1,0
1.2,0.1,0
2.2,0,0
-7.6,-0.6,0
2.2,-0.1,0
2.9,-0.5,0
2.2,-2.6,0
3.8,-0.4,0
0.3,0.4,0
22.9,2.9,0
25.5,3.9,0
13.4,2.4,0
-10.2,1.8,0
-0.8,2.6,0
-0.3,0.1,0
-1.3,0.2,0
-11.6,0.2,0
0.4,0,0
0.4,-0.1,0
1.3,-0.4,0
-5.8,0.1,0
3.2,0.3,0
2.2,-1.5,0
1,-2.2,0
-8.6,-1.1,0
2.5,-0.5,0
2,-0.4,0
1.1,-0.2,0
-6.3,0.4,0
2.5,0.2,0
1.6,0.2,0
3.8,0.6,0
2.7,0.5,0
-9.5,0.3,0
2.4,0.2,0
1.8,0.1,0
1.2,-0.5,0
-9.2,0.2,0
3,-0.6,0
2.2,-1.9,0
1.5,-0.4,0
-8.3,-0.3,0
3,-0.3,0
3.7,-0.6,0
1.8,0.2,0
-8.4,0.2,0
1.8,0.1,0
2.4,0.2,0
2.4,0,0
-9.3,0.1,0
3.6,0,0
3.5,0,0
1.5,0.2,0
-7.2,0.5,0
2.1,-0.1,0
3.2,0,0
2.6,-0.6,0
0.9,-1,0
-7.4,-0.3,0
3.7,0,0
2.1,0,0
1.8,0.2,0
-8.3,0.4,0
3.1,0.4,0
2.7,0.3,0
2.3,-0.4,0
-7.5,0,0
1,-1.3,0
1.1,-0.3,0
3.1,0.1,0
-6.9,0.2,0
2,-0.1,0
1.9,0.3,0
2.1,-0.2,0
-8,-0.8,0
2.5,0.2,0
2.3,-0.7,0
2.3,0.2,0
-9.4,-0.5,0
1.9,-0.5,0
1.8,0,0
2.3,-0.5,0
2.9,-0.8,0
-8.5,0,0
3,-0.3,0
2.1,-0.4,0
2,-1.5,0
-9.2,0.1,0
2.6,0.4,0
1.4,0.2,0
0.5,-0.1,0
-9.8,-0.1,0
3.7,0.6,0
2.2,0.2,0
0.6,-0.2,0
-6.9,0.2,0
3.2,0.3,0
2.2,0.2,0
2.9,-0.1,0
-10.1,-0.5,0
2.7,-0.8,0
1.2,0,0
1.5,-0.9,0
-7.7,0,0
2.2,-0.1,0
0.2,-0.2,0
3.5,0.5,0
2.4,0.2,0
-8,0.4,0
2.5,0.3,0
1.9,0.3,0
1.6,0.2,0
-8.4,0.1,0
1.6,-0.9,0
2.1,-0.4,0
1.3,-0.1,0
-7.9,0.1,0
3.3,-0.6,0
3.7,0.3,0
3,0.1,0
-8.4,-0.1,0
1.5,-0.5,0
2.8,0.5,0
1.6,0.2,0
-7.1,-0.2,0
1.9,-0.4,0
6.6,-2.3,0
12.8,-4.1,0
12.6,-0.4,0
25.1,0.3,0
6,0.4,0
1.9,0.2,0
0.2,-0.2,0
-8.9,0,0
0.2,0,0
0.1,0.1,0
1.4,0.4,0
-9.4,0.5,0
2.4,0.5,0
5.1,0.9,0
2.1,0.2,0
-6.3,-0.2,0
1.5,-1.3,0
2.6,0.2,0
1.3,-0.4,0
-7,0.2,0
1.7,0.2,0
1.6,-0.1,0
2.4,0.3,0
-5.4,0.8,0
2.1,0.3,0
1.7,0.3,0
3.4,0.5,0
-7.4,0.2,0
1.1,0,0
1.6,-0.4,0
1.2,-0.8,0
4.4,-0.3,0
-8,0.1,0
1.8,0.2,0
3.2,0.1,0
2.3,0,1
-6.3,-0.3,1
2,-0.4,1
3.1,0.2,1
1.1,0.1,1
-7.5,0.2,1
1.8,-0.5,1
1.5,-0.3,1
4.4,0.4,1
-7.4,-0.1,1
3.1,0.3,1
2.7,0.3,1
2.2,-0.8,0
-4.7,0.3,0
1.6,-0.1,0
1,-0.2,0
2.4,-0.1,0
-6,0.3,0
1.6,-0.7,0
2.5,-0.4,0
2,-0.5,0
1.9,0.2,0
-6.8,0.1,0
1.8,0.2,0
1.3,0.2,0
1.8,0.2,0
-4,0.6,0
1.2,0.1,0
1,0.3,0
2,0.5,0
-6.8,-0.2,0
2.4,0.5,0
0,0,0
1.1,-0.3,0
-4.7,0.3,0
2.1,-0.9,0
1.8,0.2,0
1.3,0.2,0
-6.1,-0.7,0
3,-0.5,0
1.7,-0.2,0
1.6,-0.2,1
-4.3,0.5,1
0.4,0.1,1
1,0.5,1
0,0.8,1
1.6,0.4,1
-6.6,0.5,1
1.5,0.3,1
0.9,0,1
0.1,-0.5,1
-4.2,-0.2,1
2,-0.1,1
1.7,-0.3,1
0.9,-0.5,1
-5.3,0.1,1
1,0,1
1,-0.2,0
0.8,-0.3,0
-5.6,-0.1,0
1.1,0.2,0
0.6,0.1,0
0.6,0.2,0
-4.2,0.6,0
1.1,0.4,0
1.5,0.4,0
1,-0.1,0
-4.3,-0.1,0
1.4,-0.4,0
0.4,0,0
0.6,-0.4,0
0.5,-0.3,0
-4.8,-0.9,0
0.9,0.2,0
1.3,-0.9,0
1.1,-0.4,0
-3.2,0,0
0.7,0.1,0
1.4,0.4,0
0.8,0.3,0
-3.8,0.3,0
0.7,0.3,0
1.8,0.4,0
1.3,0.3,0
-2.8,0.2,0
0.5,0,0
0.6,0.1,0
1.5,0.5,0
-3.3,0.3,1
0.2,0.1,1
1.1,0.4,1
0.5,0.2,1
-1.7,1.2,1
0.3,0.2,1
1.2,0.4,1
0.4,0.1,1
0.5,-1.2,1
-2,-1.1,1
0.9,0.1,1
0.3,-0.8,0
0.6,-0.3,0
-2.9,0.1,0
0.4,0.3,0
0.1,0.8,0
1.4,0.8,0
-2.8,0.1,0
0.7,0.3,0
2.3,0.5,0
0.3,-0.2,0
-2.7,-0.2,0
0.1,-0.6,0
0,-0.2,0
1.6,0,0
-1.8,-0.4,0
0.2,-0.4,0
1.3,-0.2,0
0.1,-0.1,0
-2.6,0,0
0.6,0.3,0
0.2,0.2,0
0.3,0.4,0
0.1,0.3,0
-0.7,0.1,0
0.3,0,0
0.2,0.1,0
0.1,0,0
-1.1,0.7,0
0.3,0.1,0
0.4,-0.1,0
0.4,-0.2,0
-0.6,-0.6,0
1.8,-0.5,0
0.4,-0.2,1
0.1,0.1,1
-0.9,-0.1,1
0.9,0.3,1
0.1,0.1,1
0.2,0,1
-0.9,-0.1,1
0.3,0,1
0.4,0,1
0,-0.1,1
0.3,-0.1,1
0.1,-0.3,1
0.1,-0.4,0
0.1,-0.1,0
0.1,-0.1,0
0.1,-0.2,0
0.1,0.2,0
0.2,0,0
0,0,0
0.1,0.2,0
0.2,0.1,0
0,-0.1,0
0,0,0
0.2,-0.1,0
0.2,-0.1,0
0.1,0,0
0,-0.1,0
1.1,-0.4,0
-0.2,0,0
-0.1,-0.4,0
-0.1,-0.3,0
0.8,-0.2,0
0,0,1
-0.2,0,1
-0.2,0,1
1.1,-0.2,1
-0.2,0,1
-0.1,0,1
-0.1,0.1,1
-0.3,0,1
2,0.1,1
-0.1,0,1
-0.4,0.1,1
-0.2,0,1
0.9,0.1,1
-0.2,-0.1,1
-0.5,0.3,1
-1,-0.3,1
1.5,-0.1,1
-0.3,-0.1,1
-2.2,-0.5,0
-1.4,0.5,0
2.3,0.6,0
-0.4,0.5,0
-0.3,0,0
-0.3,0,0
1.4,0.2,0
-0.3,0,0
-0.3,0.1,0
-0.3,0,0
2.8,0,0
-0.3,0.5,0
-1.3,0.3,0
-1.1,-0.1,0
-0.8,-0.1,0
3.6,0.5,0
-0.3,0.2,0
-1.1,0.1,0
-0.7,0.7,0
2.5,0,0
-1.1,-0.1,0
-0.4,0.5,0
-0.4,0.5,0
2.6,-0.3,0
-0.7,0.2,0
-0.2,0.1,0
-1.4,-0.3,0
3.3,-0.1,0
-0.7,-0.1,0
-0.5,0,0
-0.5,0,0
2.1,-0.4,0
-0.2,0,0
-0.3,0.5,0
-0.7,0.5,0
4.5,0,0
-1.1,-0.1,0
-0.6,0.7,0
-0.4,0.4,0
-1,0,0
3,-0.1,0
-1.1,-0.1,0
-0.6,0,0
-0.5,0,0
4.4,-0.1,0
-0.9,-0.2,0
-0.5,-0.3,0
1.2,0.1,1
7.4,-0.8,1
3.2,-3.7,1
10.3,-2.6,1
13,-1.7,1
4.3,0.3,1
-0.6,0.4,1
-2.9,0.8,1
-6.3,0.4,1
2.8,1,1
-1.5,0.4,1
